asin,image,overall,reviewText,reviewTime,reviewerID,reviewerName,style,summary,unixReviewTime,verified,vote,Category,text
B0009RF9DW,,5,Very good fragrance. A good nature smell rather than just a cologne type smell. My favorite of the series.,"06 15, 2017",AIRQ4VAXVPAP4,Amazon Customer,{'Size:': ' 10'},Great choice.,1497484800,TRUE,,All_Beauty,good fragrance good nature smell rather cologne type smell favorite series
B000GLRREU,,5,"I bought this based largely on the features and the reviews on Amazon. The hand held WP-450 model has a 2-year warranty, but I've never had the batteries last for two years. Some don't make it to 18 months. The one I bought a year ago now only lasts for about 4 or 5 sessions before the charge dies. I recharge them for over 24 yours when they get week, which is what Waterpik recommends. So I have two so I can use one while the other one charges. Got tired of all this and got this plug in model and I wish I had done this several years ago. Being tethered to the hose is not a problem at all, the hand unit is much lighter and more maneuverable than the battery model, lighter too. I use this on #7 setting on the dial and it is just about the same as my old 450 units with a fresh charge. The highest setting is really powerful! Control easy to use, uses the same tips as my old units. I floss first, lightly brush with a tooth brush, then use a Sonicare. After this routing my hygienist still found food under my gums during a routing cleaning! That is when I added the Waterpik to my routine and they never found food after that again. Amazing to see what flossing and brushing with a Sonicare leaves behind. I am 67 and my gums have receded, so I need the extra flushing power of a water flosser. Dental floss does not get down between the gum and base of the tooth. I recommend this for anyone who is either starting out with your first water flosser or using a rechargable unit that you don't want to replace every 18 months because the battery is failing. Extra tips store in the lid to the tank. Tank easy to remove for cleaning. Can even be washed in the dishwasher if you remove the rubber valve/plug unit. I love the design, tube coils up and stores in the side of the unit with the handle slipping in a holder, all tucked out of the way. My teeth feel super clean even 12  hours after using this wonderful machine. Well made with quality materials.","09 25, 2014",ALC78IZMOVRHN,Tom Johnson,{'Size:': ' Ultra'},Glad I got this Model,1411603200,TRUE,2,All_Beauty,buy base largely feature review amazon hand hold model warranty never battery last two year make 18 month one buy year ago last 4 5 session charge die recharge 24 get week waterpik recommend two use one one charge get tire get plug model wish several year ago tether hose problem hand unit much light maneuverable battery model light use 7 set dial old 450 unit fresh charge high setting really powerful control easy use use tip old unit floss first lightly brush tooth brush use sonicare rout hygienist still find food gum rout cleaning add waterpik routine never find food amaze see floss brush sonicare leave behind 67 gum recede need extra flush power water flosser dental floss get gum base tooth recommend anyone either start first water flosser use rechargable unit want replace every 18 month battery fail extra tip store lid tank tank easy remove cleaning even wash dishwasher remove rubber unit love design tube coil store side unit handle slip holder tuck way teeth feel super clean even 12 hour use wonderful machine well make quality material
B001LNODUS,,4,"Another example of how Amazon throws items together that have nothing to do with each other yet the reviews mix, so it's hard to get an idea of what the review average really means, is it for the lotion, or the water?

THIS review is for the body lotion, which has a slight lavender scent (not too heavy), and is quite creamy.  It goes on evenly and smooth, and absorbs quickly, without any long feeling of greasiness or anything afterwards.  It feels quite nice.","09 22, 2017",ABQWMANK4AR63,JDThird,{'Color:': ' Body Lotion'},"Absorbs quickly, no overpowering scent",1506038400,FALSE,,All_Beauty,another example amazon throw item together nothing yet review mix hard get idea review average really mean lotion water review body lotion slight lavender scent heavy quite creamy go evenly smooth absorbs quickly without long feeling greasiness anything afterwards feel quite nice
B00006L9LC,,5,I use this product daily I love it.,"03 13, 2016",A29WQLB8ACNZ5T,Marie Buckley,{'Size:': ' 511'},Five Stars,1457827200,TRUE,,All_Beauty,use product daily love
B001LNODUS,,4,I love the aroma of lavender and was sure this was going to have a stronger lavender scent.  It did have a faint hint of lavender scent.  That was a disappointment.  The scent lasts all of a hot second once it leaves the bottle.  I discovered that if you pour 2-3 capfuls in your laundry and pour a capful on a washcloth in your bathroom you get the benefit of the lavendar aroma.,"09 7, 2017",AIEEK7AHXKZCC,BeatleBangs1964,{'Color:': ' Linen Water Refill'},Touch of Lavender,1504742400,FALSE,,All_Beauty,love aroma lavender sure go strong lavender scent faint hint lavender scent disappointment scent last hot second leave bottle discover pour capful laundry pour capful washcloth bathroom get benefit lavendar aroma
B00006L9LC,,5,"By far I think this is one of the best mousse there is and love the light smell , it not loud like most mousse , I will buy agin.","08 7, 2015",A3IZX2IWVGM9QH,Brenda,{'Size:': ' 58'},By far I think this is one of the best mousse there is and love the light smell,1438905600,TRUE,,All_Beauty,far think one best mousse love light smell loud like mousse buy agin
B0009RF9DW,,5,"This was one of my favorites and still is.  I was excited to find it.  I relax every time I use it.  It arrived early, even better!","03 11, 2013",AXCURT4DMJ5X,Anna Maria MCIVOR,{'Size:': ' 287'},Favorite Fragrance,1362960000,TRUE,,All_Beauty,one favorite still excite find relax every time use arrive early even good
B0009RF9DW,,5,Nice fruity fragrance!,"02 20, 2016",A21931Z4J17AJ2,Sandra,{'Size:': ' 178'},Five Stars,1455926400,TRUE,,All_Beauty,nice fruity fragrance
B00006L9LC,,5,I received the shampoo because I was suffering from dandruff and I was like ok lets try it and I couldn't believe the result from only just one wash. it cleared out the dandruff without drying my hair out. My hair felt smooth and Fresh after just the first wash. I tried aveda spray before but it was useless and waste of money,"04 28, 2018",ADW00ZRLWD3KG,Walaa,{'Size:': ' Small'},... because I was suffering from dandruff and I was like ok lets try it and I couldn't believe the ...,1524873600,TRUE,,All_Beauty,receive shampoo suffer dandruff like ok let try could believe result one clear dandruff without dry hair hair felt smooth fresh first wash try aveda spray useless waste money
B00006L9LC,,5,luv it,"04 6, 2015",A3CEFO8LPIMHHE,amalia yumping-fleury,{'Size:': ' 25.4 Fluid Ounce'},Five Stars,1428278400,TRUE,,All_Beauty,luv
B0009RF9DW,['https://images-na.ssl-images-amazon.com/images/I/51bYNlYqnmL._SY88.jpg'],5,I am allergic to a lot of things. I occasionally get a red rash over my body after using some other body washes. This one is an exception. Not a single complain. Perfect!,"04 11, 2018",A245UNW3PI53NG,Lyudmila Tretiak,{'Size:': ' Multiset'},Wonderful product,1523404800,TRUE,15,All_Beauty,allergic lot thing occasionally get red rash body use body wash one exception single complain perfect
B0009RF9DW,,5,Dove no longer manufactures this body wash so I was relieved to find it on Amazon. The price is ridiculous but since I could not find it anywhere else I bought it. This is the only body wash I can use that doesn't dry my skin and make me itchy. If you pair this with Dove's Cream Oil lotion you're good to go.,"08 19, 2013",A4WYCR7FYUSPS,MTaylor,{'Size:': ' 34'},Only body wash I can use,1376870400,TRUE,,All_Beauty,dive long manufacture body wash relieve find amazon price ridiculous since could find anywhere else buy body wash use dry skin make itchy pair dove cream oil lotion good go
B0009RF9DW,,5,"I love Pure and Basic Body Wash in general, some scents better than others.  I wasn't sure about this one at first, I thought it was a faded scent, perhaps due to age.  And then, at some point, I got a whiff of my hand.  Wow.  Yum.  Yes, it's a foodie smell, but this one I like.

As for the cost, this container is almost 3x the size of the Pure and Basic regular sized containers, so I didn't feel the price was disproportionate, especially since this particular scent has been discontinued and is hard to find.","01 16, 2014",A26CEJL5AR4U3B,fairlind,{'Size:': ' 125'},Nice!,1389830400,TRUE,,All_Beauty,love pure basic body wash general scent good others sure one first think faded scent perhaps due age point get whiff hand wow yum yes foodie smell one cost container almost 3x size pure basic regular size container feel price disproportionate especially since particular scent discontinue hard find
B01E7UKR38,,5,"I don't think any nail polish manufacturer creates as many different colors of nail polish as Essie, and I like almost all of them! This one is a lovely slightly violet polish in the red range. It's perfect for people like me who wear a lot of cool colors and have blue based coloring. The color in the bottle looks exactly like one in the photo on my screen, and slightly more red when it dried on my nails. I like it a lot. This color glides on very easily and almost covers in one coat. I did have to use a second coat to completely cover all the little spots that I missed the first time around. The polish looks good on its own, but the gel topcoat really sets it off. It gives my nails a hard, very shiny finish and helps to protect the manicure. It also smoothes out any imperfections that may have occurred when applying the first two coats. Don't skip it! The topcoat can also be worn on its own over bare nails for a nice shiny, finished look. But with so many beautiful Essie colors, why would you want to?

This polish was still going strong with only a hint of wear on the tip of one nail after 7 days. The top coat was still extremely shiny. My nails show growth at the base of the nail, so I usually change polish after 7 days. But if not for that, I probably could have gotten another couple days out of this polish. Great product!","07 29, 2017",A3S3R88HA0HZG3,PT Cruiser,{'Color:': ' V.I.Please'},Lovely shade for winter or summer - VIPlease,1501286400,FALSE,,All_Beauty,think nail polish manufacturer create many different color nail polish essie like almost one lovely slightly violet polish red range perfect people like wear lot cool color blue base coloring color bottle look exactly like one photo screen slightly red dry nail like lot color glide easily almost cover one coat use second coat completely cover little spot miss first time around polish look good gel topcoat really set give nail hard shiny finish help protect manicure also smooth imperfection may occur apply first two coat skip topcoat also wear bare nail nice shiny finish look many beautiful essie color would want polish still go strong hint wear tip one nail 7 day top coat still extremely shiny nails show growth base nail usually change polish 7 day probably could get another couple day polish great product
B00006L9LC,,5,I've worn Chanel #5 since I was 12 years old.  This was a great price for the only perfume I've ever worn.,"09 15, 2013",A2MWZ6TCFPWTPH,N. Pfamatter,{'Size:': ' 361'},My favorite scent,1379203200,TRUE,,All_Beauty,wear chanel 5 since 12 year old great price perfume ever wear
B000X7ST9Y,,5,I don't understand the bad reviews because this is an excellent body wash and it smells nice and subtle. The first time I used this body wash it became one of my favorites. The ingredients are top notch and it makes your skin feel excellent afterwards.,"09 22, 2016",A157AUOFPJQ46Q,dark cloud,,Great for your hide.,1474502400,TRUE,,All_Beauty,understand bad review excellent body wash smell nice subtle first time use body wash become one favorite ingredient top notch make skin feel excellent afterwards
B00006L9LC,,5,good soap.  I have skin allergies and am having trouble with mass produced soaps.  So far so good and my skin feels great.,"04 2, 2014",A3QYF175C7E1CN,SABRINA KROUSE,{'Size:': ' 363'},great soap,1396396800,TRUE,,All_Beauty,good soap skin allergy trouble mass produce soap far good skin feel great
B002GP80EU,,3,This is really thin and really cheap. Mine started coming apart after a couple scrubs.,"09 12, 2017",A1R1BFJCMWX0Y3,KO,{'Color:': ' Soap Mitt'},Falling apart already,1505174400,FALSE,,All_Beauty,really thin really cheap mine start come apart couple scrub
B0009RF9DW,,1,Wow I was totally hyped to try this shower gel. According to the rate and review I thought this would be awesome. However I received the package all torn up and the bottle itself had no seal. Very disappointed,"03 6, 2018",A3JQUR31CLU4VK,leeraz,{'Size:': ' 8.5oz'},According to the rate and review I thought this would be awesome. However I received the package all torn up ...,1520294400,TRUE,,All_Beauty,wow totally hype try shower gel accord rate review think would awesome however receive package tear bottle seal disappointed
B00006L9LC,,5,"These refill intense reinforcing treatment , left my hair smooth and smell good! I like.","10 28, 2014",A30VYJQW4XWDQ6,michelle,{'Size:': ' 369'},Vector fill intense reinforcing treatment .,1414454400,TRUE,,All_Beauty,refill intense reinforce treatment leave hair smooth smell good like
B0009RF9DW,,5,I love this for when I take a shower.,"07 14, 2014",A3HHQ7UIJJAOAV,redlin51,{'Size:': ' 179'},Five Stars,1405296000,FALSE,,All_Beauty,love take shower
B00006L9LC,,5,THIS IS WHAT BODY GLOSS IS SUPPOSED TO BE LIKE... IT JUST SHOULDNT HAVE TO COST SO MUCH TO BUY,"08 6, 2013",AZ4T3DDT8L9EQ,Michelle Adams,{'Size:': ' 30mla144'},PERFECTION,1375747200,TRUE,,All_Beauty,body gloss suppose like shouldnt cost much buy
B0009RF9DW,,5,Love this-but believe it is no longer available!! Thymes-BRING IT BACK PLEASE!!!,"11 28, 2014",A13B2J5IBGS8Y2,Pam,{'Size:': ' 22'},Five Stars,1417132800,TRUE,,All_Beauty,love believe longer available back please
B00W259T7G,,5,"This is a huge bar of great, thick, luxurious soap, in a classic form and scent.  The constant cheapening of hotel soaps has almost had me forgetting what a real soap was like and why it is a forgotten pleasure.  I like it!","09 22, 2017",A1MZL91Z44RN06,MussSyke,"{'Size:': ' 250 Gram', 'Color:': ' Sandalwood'}",Simple luxury,1506038400,FALSE,,All_Beauty,huge bar great thick luxurious soap classic form scent constant cheapening hotel soap almost forget real soap like forgotten pleasure like
B0009RF9DW,,5,"I had a hard time finding this product in the stores in my area. I was finally able to find it and I love it. My skin is so soft, not greasy or feeling like I need to take another shower to get it all off like so many body washes that I have used before. I have stocked up on this stuff just in case they decide to get rid of it in my store. I would highly reccomend this product to anybody that has dry itchy skin or any texture problems like I had. I no longer need to use heavy lotion and my skins clarity is much better.","09 5, 2012",A2LY3LPGRERLPW,finicky buyer,{'Size:': ' 71'},another love for St. Ives,1346803200,FALSE,,All_Beauty,hard time find product store area finally able find love skin soft greasy feel like need take another shower get like many body wash use stock stuff case decide get rid store would highly reccomend product anybody dry itchy skin texture problem like longer need use heavy lotion skin clarity much well
B0009RF9DW,,5,Gift for sister. She loves it,"02 22, 2016",A2JAEYUNQB6BIF,AuTumn,{'Size:': ' 228'},Five Stars,1456099200,TRUE,,All_Beauty,gift sister love
B0010ZBORW,,4,"I'd probably like to have it a bit rougher, were I picking the perfect bath mit.  I mean, it's a similar colour to a loofah, but a loofah feels a little bit scratchier and overall nicer.  It does stretch to fit over my large hand and wrist, but barely.  It's still nice to have though.","09 1, 2017",A1MZL91Z44RN06,MussSyke,{'Color:': ' Boucle Bath Mitt'},Could be scratchier.,1504224000,FALSE,,All_Beauty,probably like bit rougher pick perfect bath mit mean similar colour loofah loofah feel little bit scratchier overall nicer stretch fit large hand wrist barely still nice though
B00006L9LC,['https://images-na.ssl-images-amazon.com/images/I/511+oyS50IL._SY88.jpg'],5,Cleansing properties are above any praise! Suprised by how good an all-organic product can be. Hair feel amazing after use.,"04 21, 2018",A1VN560NNZQIR0,Shablinska,{'Size:': ' Small'},The best treat for my hair!,1524268800,TRUE,4,All_Beauty,cleanse property praise suprised good product hair feel amazing use
B0009RF9DW,,5,Loved the products however did think it was priced a little high wanted to get the lotion but the price with shipping and handling was way too much!,"03 1, 2016",A26HF31NL346VR,Amazon Customer,{'Size:': ' 184'},Loved the products however did think it was priced a ...,1456790400,TRUE,,All_Beauty,love product however think price little high want get lotion price shipping handling way much
B00W259T7G,,4,"Love the scent of this very large bar.  It lathers well too but the dried botanicals can be too rough for sensitive skin.  When I lathered up with just bar in hand, I found it uncomfortably scratchy on my lower legs near my shins where there's not much fat or muscle.  When I used a wash cloth, nylon shower puff or a nylon soap bag I didn't notice any irritation.  So, for my sensitive skin, I would probably skip this bar.","10 8, 2017",A15T9G38F589KM,knitting ninja,"{'Size:': ' 250 Gram', 'Color:': ' Herbs of Provence'}",Very exfoliating but can be a little rough,1507420800,TRUE,,All_Beauty,love scent large bar lather well dried botanical rough sensitive skin lather bar hand find uncomfortably scratchy low leg near shin much fat muscle use wash cloth nylon shower puff nylon soap bag notice irritation sensitive skin would probably skip bar
B00006L9LC,,5,Smells great and is as described,"11 10, 2015",A165FHUTQU6L2Z,Sarah,{'Size:': ' 281'},Five Stars,1447113600,TRUE,,All_Beauty,smell great described
B00006L9LC,,5,Found this while on holiday in London.  I love this shower gel and the fragrance,"09 5, 2015",AF61N91A61THX,Melissa Sallady,{'Size:': ' 6 Pack'},My little secret,1441411200,TRUE,,All_Beauty,find holiday london love shower gel fragrance
B00006L9LC,,5,Awesome product,"01 24, 2016",AM88FAF0V7U6D,Amazon Customer,{'Size:': ' 483'},Five Stars,1453593600,FALSE,,All_Beauty,awesome product
B00006L9LC,,5,Great conditioner that leaves hair clean.,"08 7, 2015",A2MX559LDZAQ5Q,girl45shooter,{'Size:': ' 26'},Five Stars,1438905600,TRUE,,All_Beauty,great conditioner leave hair clean
B00006L9LC,,5,Great Product; does wonders for colored treated hair.,"08 9, 2016",A3HA7DWA3A6P4D,Stellina Reed,{'Size:': ' 41'},Five Stars,1470700800,TRUE,,All_Beauty,great product wonder color treated hair
B00006L9LC,,5,Beautiful hair after use...shiny !,"04 12, 2016",A39JMSWQA06ZN6,Bettina Janet Mc Laughlan,{'Size:': ' 5 oz.'},Five Stars,1460419200,TRUE,,All_Beauty,beautiful hair use shiny
B00006L9LC,,5,I have an Airbnb.  This is perfect for guests.  The price is right and I can provide shampoo with little waist.  I appreciate this product,"10 1, 2017",A12HTKLZWLEAF5,Marcia Fairman,{'Size:': ' 126'},This is perfect for guests,1506816000,TRUE,,All_Beauty,airbnb perfect guest price right provide shampoo little waist appreciate product
B00006L9LC,,5,"So excited to see this on amazon! I found this hem while traveling and couldn't find it anywhere when I got him, this scrub is seriously the best. Gentle and effective.","10 19, 2016",A3JQ30S858QNER,Joseph D. Drypolcher,{'Size:': ' 561'},The best scrub,1476835200,FALSE,3,All_Beauty,excited see amazon find hem travel could find anywhere get scrub seriously best gentle effective
B00006L9LC,,5,Very Good,"02 9, 2016",ADPN1Z23QGFQ5,Mauro,{'Size:': ' 52'},Five Stars,1454976000,TRUE,,All_Beauty,good
B00L1I1VMG,,4,"These consist of a wide, rather hard and sharp, plastic strip with a small stripe of gel on one side. You place one in your mouth on the gum line, outside of the tongue area, next to the aching tooth and leave in place for ten minutes. The instructions do not say to trim the plastic strip to fit, but in actual use, it was necessary to trim the strip in order to get the strip in place and have a comfortable fit for an aching  lower molar.

These worked very well, my son (30 years old, lives with me because he is disabled) had a tooth ache two weeks ago, we used one of these and his tooth hasn't bothered him since, but it was awkward to put in place, after one failed attempt of him trying to put a strip, we resorted to trimming the wide plastic strip before removing the backing and I put on a pair of disposable medical gloves and put the strip in for him.

I highly recommended the product and think it would be a great addition to any home medicine cabinet or first aid kit","10 3, 2014",AYNTULRNAIPNY,Young@Heart,{'Size:': ' 6 Strips'},A must have for home medicine cabinets or first aid kits,1412294400,FALSE,,All_Beauty,consist wide rather hard sharp plastic strip small stripe gel one side place one mouth gum line outside tongue area next ache tooth leave place ten minute instruction say trim plastic strip fit actual use necessary trim strip order get strip place comfortable fit ache low work well son 30 year old live disable tooth ache two week ago use one tooth bother since awkward put place one fail attempt try put strip resort trim wide plastic strip remove backing put pair disposable medical glove put strip highly recommend product think would great addition home medicine cabinet first aid kit
B001LNODUS,,4,"This shower gel was decent. The scent was light and not overwhelming, and the gel lathered nicely and rinsed away without feeling sticky. My wife liked the product and commented that it wasn't runny like some of the other pricey gels she's purchased in the past.","09 25, 2017",A28N2AWOVO2PB,Simon Cleveland,{'Color:': ' Shower Gel'},and the gel lathered nicely and rinsed away without feeling sticky,1506297600,FALSE,,All_Beauty,shower gel decent scent light overwhelming gel lather nicely rinse away without feel sticky wife like product comment runny like pricey gel purchase past
B00006L9LC,,5,"I got these for personal use.  Perfect price for a beginner set of brushes.  Plus, it came with red glitter!! I mostly use the smallest size of the swirled handle for clean up and one of the line brushes and the angled one.
I highly recommend these if you're using them for yourself.  I can't speak to how well they'd hold up for professional use.","06 26, 2015",A18EJ6MMSR1GGA,Cara,{'Size:': ' 494'},I really love these!,1435276800,TRUE,2,All_Beauty,get personal use perfect price beginner set brush plus come red glitter mostly use small size swirled handle clean one line brush angled highly recommend use ca speak well hold professional use
B00006L9LC,,5,"This is a very good soap for dry skin; leaves skin moisturized & soft. My husband & I use it after swimming to counteract the chlorine. Has a light citrus scent, which does not last.
I tried Bob & Trout soaps on a whim, & have been most pleased. My favorite is the Sea Salt & Kelp; the Winter Spice is the best scent. Try these soaps-- you will like them!
I have a longer review under the Sea Salt w/Kelp soap.","07 20, 2012",A19BNMVUQDMFGK,Christine-Lee,{'Size:': ' 363'},Great for dry skin!,1342742400,TRUE,3,All_Beauty,good soap dry skin leave skin moisturize soft husband use swim counteract chlorine light citrus scent try bob trout soap whim pleased favorite sea salt kelp winter spice best scent try soap like longer review sea salt soap
B00006L9LC,,5,Great product!,"12 14, 2016",A1JL5CJJDECOH4,Tony T.,{'Size:': ' 29.2'},5 stars!,1481673600,TRUE,,All_Beauty,great product
B00006L9LC,,5,Love this body wash!! My absolute favorite! And very hard to find.,"11 16, 2015",A2A83NR45HQ2OV,melody a burke,{'Size:': ' 281'},Five Stars,1447632000,TRUE,,All_Beauty,love body wash absolute favorite hard find
B00W259T7G,,5,I love the linden scent; it's so refreshing.  All of the Pre de Provence soaps I've tried are such a treat.,"07 3, 2014",A2UEIN7SIPZFRP,collies and cats,"{'Size:': ' 250 Gram', 'Color:': ' Linden'}",Linden scent is heavenly,1404345600,TRUE,2,All_Beauty,love linden scent refreshing pre de provence soap try treat
B0009RF9DW,,5,Will buy again,"06 27, 2015",A32RAW9ILQYP9S,sonnja williams,{'Size:': ' 200'},Worth the price,1435363200,TRUE,,All_Beauty,buy
B00L1I1VMG,,3,"This product is considerably more expensive than a simple tube of Sensodyne and provides the similar protection. For me, it was not worth the effort, annoyance, concerns, or price. Moreover, I am left truly uncomfortable by the numerous notes of caution on the product. I think I'll simply remain faithful to my Sensodyne (which my dentist wholeheartedly endorses).

Additionally, the box does caution the user that this product has been known to NOT last the full month ... something to consider as you weigh Sensodyne against this box (of six strips). Best to use Sensodyne consistently than to end up in screaming pain because your Sensi-Strips just wore-off? Food for thought.","10 5, 2014",A2LW5AL0KQ9P1M,Dr. E,{'Size:': ' 6 Strips'},Try Sensodyne ...,1412467200,FALSE,,All_Beauty,product considerably expensive simple tube sensodyne provide similar protection worth effort annoyance concern price moreover leave truly uncomfortable numerous note caution product think simply remain faithful sensodyne dentist wholeheartedly endorse box caution user product know last full month something consider weigh sensodyne box six strip best use sensodyne consistently end scream pain food thought
B00006L9LC,,5,"Great lather, delicious smell and really cleans!","04 23, 2016",A19AWUK1MWTJEN,Jan Monte,{'Size:': ' 281'},Love this stuff!,1461369600,TRUE,,All_Beauty,great lather delicious smell really clean
B0009RF9DW,,5,It smells so good it's worth  the price  I'm definitely  buying this again.,"05 19, 2016",AG6BQPVI5DCR4,Quanisha Perry,{'Size:': ' 136'},smells great,1463616000,TRUE,,All_Beauty,smell good worth price definitely buy
B0009RF9DW,,5,"Great product! I use it on my face, neck and arms after shaving. My skin feels great and my eyes don't sting when I perspire.","07 18, 2013",AYORX1AK30JMB,Westy,{'Size:': ' 191'},Nice!,1374105600,TRUE,,All_Beauty,great product use face neck arm shave skin feel great eye sting perspire
