,asin,overall,vote,Category,cleanText
66,B0013ASJP4,5,,Digital_Music,awesome spiritual sense calm peace imagine would like see jesus beautifully write sing grace emotion truly imagine would like meet king king great music soul
67,B000002KHF,5,,CDs_and_Vinyl,even though best cd van one favorite crazy love mystic wonderful ca get enough listen song
68,B000051SD1,5,,Electronics,work well
69,B00S0DL4RM,4,,Cell_Phones_and_Accessories,good quality like braid remind appliance 40
70,B00005N7OV,5,5,Magazine_Subscriptions,look idea next decorating project likely find least one article month inspire focus friend family gardening interior design building family matter flood good health shopping ca go wrong like ask section send away postcard information instead contact mom kid project section amuse kid love cartoon also cute laugh one say course love get fax something picture magazine always remind bright sunny day open kitchen lush garden treat recipe section really personality petite caramel apple recipe september 2001 issue adorable look forward every issue rebecca review
71,B00006IFIM,3,,Office_Products,expo may leader dry erase market fine tip blech us dull wide tip anyways
72,B00NS7CFBY,4,5,Pet_Supplies,fit true size 7 pound chihuahua build little differently wide chest soft comfortable wear exception clip ring large ring big barely fit clip leash bother big ring flop around behind ear wear otherwise would buy another wish large size chihuahua mix brother
73,B00004Z4BV,5,4,Office_Products,handy nail screw husband nag endlessly hang anything tape great alternative nothing ca hold use secure surge protector bottom desk bright plastic box use hide organize electronic cable number outside ca think anything wo tip need time set sometimes use mount heavy item use plastic tie hold anything mount first day cut ugly wonderful clean run quickly order bulk something ever willing without must
74,B00005IX9M,5,,Home_and_Kitchen,braun coffee grinder 10 year suddenly stop work call braun ask still make search internet order new one design tad large cord short otherwise happy braun grinder braun product usually good
75,B00006461N,4,2,CDs_and_Vinyl,ever album say roll another number mellow funky little gem whenever listen want call bro bbq chill 40 rollin fatty talkin lady oh yeah like music check jalamanta sound liberation music
76,B0000690Z9,5,,Video_Games,good game exciting intense action pack level great challenge
77,B004XLDE5A,5,,Appliances,common failure part dryer great price replacement still margin make money repair right time first time
78,B01A0FQ8Q4,5,,Office_Products,great office addition
79,B000P5OUE2,1,2,Musical_Instruments,high hope strap basically good design two fatal problem large metal snap place scratch guitar electric upper strap button top cutaway show picture avoid heel button snap rub finish want sg les paul archtop leather endpieces stiff afraid would yank strap button guitar put later remove return item moreover stiff leather another likely source basically care scratch strap button like one show work otherwise beware
80,B00YXQAFRK,2,,Cell_Phones_and_Accessories,stop work 10 minute make really flimsy plastic really want like even magnet strong try put refrigerator second keep slide return get refund still market flashlight hook buy flashlight originally friend mine gift one almost identical try get brand amazon carry ask friend get say give two flashlight vendor presentation company keep one give one one feel rugged weight although also make plastic much plastic
81,B0056G29SE,3,,Video_Games,grandson love christmas good quality material would definitely recommend
82,B00IAE75OM,5,,Prime_Pantry,love yummy
83,B001IKJOLW,5,,AMAZON_FASHION,love shoe true size comfortable second pair wear first pair good arch support high arch
84,B0000224LD,5,,Tools_and_Home_Improvement,great hinge
85,B00IZDIMCM,5,,Grocery_and_Gourmet_Food,great product work well low carb recipe
86,B0014MYTJ6,5,3,Musical_Instruments,son japanese wife buy japan pay 100 beautiful sounding harp play diatonics 50 year nothing harp ca bend draw blow every note sound great buzzing hesitation read really heavy nice movement across mouthpiece even moustach like color cool easy play great price toto harp
87,B00005NIOD,5,,Magazine_Subscriptions,good reading magazine good price sale order next time
88,630150528X,5,,Movies_and_TV,good movie old classic two unlikely different people throw together hard condition war time love ensues unlikely pair leach scene disgust though lol
89,B00HZYC0PW,1,,Prime_Pantry,well price local market
90,B00005NIOA,5,,Magazine_Subscriptions,great mag
91,B00E3KWMQ8,5,,Tools_and_Home_Improvement,kit fix garage door opener everything work fine
92,000715707X,5,,Books,read sensitive seven year old love short chapter make good book bed time reading imaginative fun lot poetic justice throw
93,B00005QFL0,4,2,Home_and_Kitchen,4 panasonic bread maker past year reliable live useful life 4 month ago bread maker die purchase late model amazon bread maker give usual rise bread brick like return panasonic service center locally say technically okay insist ingredient change see bread maker ingredient conclusion bread maker since know panasonic machine well get refund purchase another bread maker one arrive work expect think bread maker order 4 month ago lemon sad say panasonic bread machine longer manufacture japan quality control world fine machine good loft still well machine manufacture japan 25 year ago pay 200 panasonic bread machine price remain year unfortunately outsource japan quality suffers would willing pay one manufacture japan
94,B00OU5OVRE,1,,Tools_and_Home_Improvement,bad cheap product
95,B00EKLPLU4,3,,Grocery_and_Gourmet_Food,packaging leak product ok
96,B006CD3BRI,4,,Toys_and_Games,first let say first transformer prime toy personally see show saw product line would mind always huge starscream fan naturally saw get hugley different g1 starscream original sharp sleek one give pretty cool look robot vehicle mode much care weapon though dose stay one form unless hold think huge bad point figure also never huge fan light transformer sound either luckily dose sound two point great transformer worthy fan transformer
97,B008X7A5YI,5,,Kindle_Store,husband ultimate skeptic get practice technique little bit chore love book picture tasteful helpful sensual think oversteeped spirituality right get husband technique mean really seem humor lovedthe bonus chapter definitely add bedroom passion
98,B0032JTDPO,3,,Tools_and_Home_Improvement,shot around 100 nail far issuesneeds use get another star
99,B00LVWPRN6,5,,Toys_and_Games,daughter love
100,B000BO3CXC,5,3,Arts_Crafts_and_Sewing,beautiful color like much buy entire set quinacridone paint acrylic paint like stain much paint like use painting paint mix paint would advise unless mixed another quinacridone color paint translucent make nice stain
101,B00APKIN1I,5,,CDs_and_Vinyl,always think dave grohl shamelessly profit death kurt cobain think mediocre drummer hate idea steal limelight foo fighter drummer taylor hawkins indeed good real drummer real drummer never get respect guitar player guitar player insecure weak mind grohl despite ego insecurity immensely talented man film music idea behind nothing short phenomenal sound city deserve venerate soundtrack film remarkable compilation music last ten year good job dave let drummer drummer play guitar
102,B0002ARFOC,4,,Pet_Supplies,ok conures like much eclectus like much cockatoo think ok overall bird like get right use treat would give 5 star except one problem get moth container month easy solve keep container freezer take feed bird day
103,B0006PLMFQ,4,,Luxury_Beauty,good polish
104,B00FAY4HLE,5,,Cell_Phones_and_Accessories,son like case win
105,000231309X,5,,Books,forget great christine story telling begin book see get book year ago first read one build character mind like would give book star could end superb still see people mind description must read
106,B008X5D132,3,,Kindle_Store,start enjoy story two hour know planet character century well get confused even know get end series unusual age 67 brain ca keep back forth cloning retained memory confusing hard keep
107,B001IKJOLW,5,,AMAZON_FASHION,comfortable even feel like sneaker base review get half size glad
108,B001DT32AC,5,3,Sports_and_Outdoors,comfortable wear keep pressure surgical hernia get repair wish need glad use weight loss anything like
109,B00005N7Q2,3,8,Magazine_Subscriptions,get one free read fire surprised even see listed print subscriber even know kindle edition still able find print subscriber could get kindle edition include subscription mag look nice fire though
110,B000JLMZS0,5,5,Video_Games,play dozen mmo begin uol finish age conan desinstalled fatre occupy hd full whoop 8 day personnal ranking sofar eq n1 immersion size worldlotro n1 graphic consistent story systemeq2 n1 trade skillsafter friend suggestion instal vanguard 1 week ago rewarding experience overall feeling clearly eq like many additionnal feature add strong point already notice mature player basis many quilds require membership player accordingly rather helpfull patient make pleasant change suffer 1 year wow mass good customer service friday even make quest would update correctly expect would perhaps get mail monday tell work instead 10 minute get tell gm join immediately solve problem friendly polite also pleasant change mmos original excellent diplomacy system especially newbie diplomacy quest interesting make good introduction game gnome incorporate counterintelligence department charge investigation strange disappearance mages inventor trade skill similar eq2 rank n1 obviously satisfied world huge non instance enhance immersion class complementary balance top classical eq class enchanter call psionists blood mages disciple sofar try 3 necromancer bard psionist get 3 different game feel patience need player get spoonfed item xp gold run around 10 minute also merit effectively eliminate kid want everything death penalty good thing respect weak point mention one see many player high level 12 meet player big city sofar easy solo play mmorpgs mostly first mm want go solo would buy ol game also notice call group extremely rare happen 30ies range tell world huge player placeb bad launch game chase player away population begin go since soe take eliminate bug implemented feature launchc free trial foreseen september would create influx new playerswell wait see precisely huge player basis important element immersion feeling eq graphic character customisation bad could fast change irritate scale something like 3 hour day 1 hour night strong original point game largely outweigh weak point still potential improvement future release even rank overall tad lotro sofar best modern mmorpg recommend mature player certainly appreciate eq
111,B00IA8XFKQ,5,,Arts_Crafts_and_Sewing,think adorable work great would buy
112,B004NYNGTQ,4,,Digital_Music,good music love voice
113,B00HXB43R0,5,,Cell_Phones_and_Accessories,really enjoy use product look
114,B0078EPBHI,5,,Gift_Cards,work fine
115,B00006L9LC,5,,All_Beauty,best perm wish could still buy foam much nicer work ogilvie wonderful product
116,B006KGNTM4,5,,Kindle_Store,really believe thing happen reason last night want visit willow cross facebook page sure drive glad past family celebrate christmas year thing want need dream could wish anything would steady income would support u hope circumstance change good like mercy religious believe miracle enjoy read read christmas miracle feel little hope story definitely make great read holiday need cheer cuddle read christmas miracle
117,B000I1EHK0,3,,Industrial_and_Scientific,replace throw rug rubber back old one 3 cat would dive bomb rug nightmare tape awesome mat pretty easy pull 2nd side tape also rug longer move prevent cat play hold well wo slip even walk corner firmly place say lot 3 cat try move truly problem solver would recommend anyone give 3 star work lightweight rug think would effective heavy item
118,B001RMFSDE,1,7,Musical_Instruments,three mic stand one fourth still three mic stand one absolutely top mount would rarely stay fix keep dip bottom clamp never secure properly keep open even without mic weight stand strip send back without hesitation
119,B00OK6CBMU,4,,Industrial_and_Scientific,k type thermocouple good value work complaint really stay put think wire would hold form guess thin inside hold onto plus side fiberglass covering great keep everything safe application film dry cabinet get 175f hot point stress work box would recommend
120,B00ZB13JHO,5,,Grocery_and_Gourmet_Food,advertised great make stock
121,B00U1BRXD0,5,,Toys_and_Games,receive product free exchange honest absolutely love wooden knob puzzle great way little one develop coordination love puzzle piece many wooden puzzle since help child learn even shape puzzle excellent quality sure last long time
122,B006Y8LLVY,5,,Kindle_Store,amazing book start finish simon lilly perfect bumpy due start worth really wish read cant next book
123,B01CTRH04K,5,,Prime_Pantry,big fan dove body wash advance care antiperspirant cucumber green tea smell refresh provide softness clean
124,B00MGMWTQS,5,,Appliances,right
125,B00DX3AR4A,5,3,Pet_Supplies,great table sure expect reasonable price pleasantly surprised quick easy set right box use 5 dog range size 4 pound chihuahua 88 pound german shepherd 125 pound cane corso bad hip put top nice non slip surface make german shepherd ibizan hound feel secure super quick easy adjust groom arm dog con actual grooming noose come break second use simply purchase couple sturdy one jeffers work great use table brush nail trim perfect us think would also work great someone actually dog
126,B001DPFP88,5,,Appliances,good job
127,B00W4YKCGC,5,,Appliances,work perfectly time
128,B000V6965S,5,,Digital_Music,yesterday one stevie wonder song love well worth money copy
129,B00IN9HI2I,4,,Cell_Phones_and_Accessories,arrive late package well good original battery work great
130,B0170JSKZ0,5,,Toys_and_Games,love simply long stick link together build thing kid make everything recently son create hand hook little bit basically make robotic hand type toy kid require battery allow build whatever want
131,B007C5S3AU,5,,Cell_Phones_and_Accessories,item exactly original come cellphone oops original quality item excellent fit ears perfectly try several headphone one best totally recommend friend
132,B005ESMFP6,5,,Gift_Cards,work like charm simply scratch back card code go amazon redeem web address sign amazon type code click apply balance easy peasy fee get entire payment amount credit account
133,B007R6N20U,5,,Tools_and_Home_Improvement,great general use garden glove get job price right
134,B00B9TWO50,2,,Arts_Crafts_and_Sewing,cartridge expensive include
135,B00M6QR9GY,5,,Grocery_and_Gourmet_Food,yum yum yum grow eat germany much old still enjoy
136,B00009WE3X,3,6,Home_and_Kitchen,item perfect could happy unfortuntately come dumb sticker could imagine kind put stuff take kinda rip away ca stick back something instead put case put directly grate part like come guy use head scrub scrub could get anything end put dishwasher something wan na naturally sure come guess bad case scenario go get really amateur hour
137,B001J5BEQY,4,,Industrial_and_Scientific,lascar humidity temperature dew point usb data logger work well enough purpose need way track temp humidity several room contain electronics computer equipment include machine room rack full fiber channel raid drive press button data logger lcd display current temperature consecutive button press display current humidity high temperature low temperature high humidity low humidity part easy work well session hour day etc log data one use easylog software work window use macs run software window 7 virtual machine mac use vmware fusion 4 easylog lack feature wish use data logger must first connect computer set preference setup finish unplug usb place room choice begin log ready stop logging plug usb computer launch easylog able save file late reference export excel must excel instal software allow save xl file disadvantage anyone excel pc would like export xl file use elsewhere mac another easylog software generate chart graph temperature humidity dew point different color span time log device move cursor across graph tiny readout bottom chart display value whole number zoom get detail part provision save screenshot pdf graph zoomed section native file read easylog print copy graph prefer save pdf option software previously mention ability export excel lcd display high low value might think easylog chart would display peak mouse around look print list chart day granular enough accurately determine value print way connect wand computer start software data erase wand try remember manually record peak value lcd connect pc finish save graph easylog might think could unplug device ready start next logging session wrong begin new session log data must step several screen software setup menu answer question time easylog remember preference session session example like start logging session single button wand press select option time since remember even though never set alarm still go go part preference time software little dumb like device take one star software madden last point may plus user user notice lcd display upside hold wand right hand oh well guess please people time ca please people time
138,B00D6N8U9G,3,8,Toys_and_Games,know waste money buy kid beg get ok mess 10 minute put aside never touch lol later ask waste money nod 4 yr come home take one touch break cover lol go trash
139,B000067SOH,4,,Electronics,useful adapter graphic card 2 dual dvi port one monitor still old vga style simply put convert vga cable dvi plug graphic card work well issue
140,B00DM8JA7Q,5,,Appliances,fine item work great
141,B000E28UQU,5,,Patio_Lawn_and_Garden,order lawn green work perfect color lawn clean plan use
142,B010NBKC4O,5,,Prime_Pantry,oh yum
143,B00AAS888S,5,,Video_Games,far wife love come ocz mouse survive almost 8 year wife use old intellimouse old love make large hand problem though want take 1 star razer awful software
144,B00SX1VHTQ,5,,Prime_Pantry,niece nephew share say good
145,B00FP1NNJY,5,,Digital_Music,love pitbull
146,B000068NW8,5,,Musical_Instruments,perfect describe great quality
147,B00SE4TFD2,5,,Industrial_and_Scientific,work great describe
148,B004Q9VJGK,4,,Office_Products,coupon finally organize agree review folder close bottom coupon stay organize one two little coupon move around really bad coupon medium size move really love
